agent_type,reward_function,run_number,avg_final_state,avg_avg_state,avg_accuracy,avg_engagement,avg_questions_answered,avg_total_reward
bandit,correctness,1,2.185,2.0873331412780343,0.37034149826945323,0.4035879618536984,48.6575,0.37034149826945323
bandit,correctness,2,2.08,2.0109462923220978,0.3709698178286239,0.423008451022376,53.39,0.3709698178286239
bandit,correctness,3,2.2325,2.165027581694641,0.35032946000416715,0.3819529943175439,44.4125,0.35032946000416715
bandit,correctness,4,2.165,2.1055193458088413,0.3641234180964865,0.4118321290586981,47.1425,0.3641234180964865
bandit,correctness,5,2.12,2.117354349446214,0.3556584034448841,0.4124198172927383,47.8375,0.3556584034448841
bandit,correctness,6,2.2025,2.1425727677028115,0.3620294836334911,0.37694397661798107,48.4825,0.3620294836334911
bandit,correctness,7,2.2225,2.1631922104255894,0.35152660757861054,0.38793871474765373,44.4825,0.35152660757861054
bandit,correctness,8,2.1125,2.092025271241908,0.3404143259382995,0.40281592853686815,43.1675,0.3404143259382995
bandit,correctness,9,2.0775,1.983710918763352,0.3880823504161576,0.433708455395678,54.2,0.3880823504161576
bandit,correctness,10,2.115,2.006105443994122,0.36482159012826104,0.41023578783645237,46.7825,0.36482159012826104
bandit,correctness,11,2.0275,1.9815482186367706,0.3647262635367177,0.43508916260739133,52.525,0.3647262635367177
bandit,correctness,12,2.16,2.100713682775846,0.3650131872890925,0.38448704595298705,45.3475,0.3650131872890925
bandit,correctness,13,2.0675,2.012562290132092,0.37271310326113716,0.4254917328655127,47.1875,0.37271310326113716
bandit,correctness,14,2.225,2.1466779567427903,0.360041852539072,0.3864774832407011,48.5125,0.360041852539072
bandit,correctness,15,2.1775,2.123124094185027,0.35522771805229253,0.39030875294705825,48.42,0.35522771805229253
bandit,correctness,16,2.1025,2.0710905749053437,0.35532122856420495,0.4085306650223558,38.8925,0.35532122856420495
bandit,correctness,17,2.1125,2.0235856874092395,0.3669124149577567,0.4139184152251524,40.785,0.3669124149577567
bandit,correctness,18,2.14,2.0403516802284214,0.36567227983817546,0.42804224838768723,47.9575,0.36567227983817546
bandit,correctness,19,2.165,2.0451351459716762,0.3868394500453371,0.43420997746151035,47.995,0.3868394500453371
bandit,correctness,20,2.0375,1.9788100208883816,0.3779669517528246,0.4266329435467181,50.1725,0.3779669517528246
bandit,correctness,21,2.0525,1.9973377704957402,0.37109814642181627,0.4281099149759325,43.8475,0.37109814642181627
bandit,correctness,22,2.0425,2.0080303570436513,0.3627521045966733,0.4035079959872538,42.0075,0.3627521045966733
bandit,correctness,23,2.13,2.0697434353362936,0.3461846734625363,0.4038281040345716,42.0975,0.3461846734625363
bandit,correctness,24,2.0425,1.9704292087283324,0.3788791303210847,0.44008118553969433,50.365,0.3788791303210847
bandit,correctness,25,2.1325,2.0611182585911147,0.37327166185180743,0.42555341820381826,51.0675,0.37327166185180743
bandit,correctness,26,2.1225,2.06509576491801,0.37573780137786583,0.4270413390432911,52.2675,0.37573780137786583
bandit,correctness,27,2.2125,2.124316690253182,0.3607615943090818,0.415148269500087,53.7225,0.3607615943090818
bandit,correctness,28,2.1725,2.091377709175239,0.37029174308682605,0.40903819959050286,49.59,0.37029174308682605
bandit,correctness,29,2.0675,2.023357077242695,0.38068726414056786,0.4391421439443408,48.035,0.38068726414056786
bandit,correctness,30,2.1375,2.094296587756869,0.36616744752979485,0.40422494402447834,45.4875,0.36616744752979485
bandit,correctness,31,2.08,2.0251628339884453,0.36901526552478536,0.4172986993773312,47.1975,0.36901526552478536
bandit,correctness,32,2.16,2.148980217730494,0.3262303765836046,0.3723857979192042,41.1975,0.3262303765836046
bandit,correctness,33,2.29,2.1815777967518737,0.3717899087191388,0.399508089766194,47.335,0.3717899087191388
bandit,correctness,34,2.1125,2.0181127997551056,0.39975769828279467,0.43492427872811673,49.8825,0.39975769828279467
