lambda,agent_type,run,avg_final_state,avg_avg_state,avg_accuracy,avg_engagement,avg_questions_answered,avg_total_reward
0.61,bandit,1,2.11,2.0437501178768063,0.35945313417008007,0.44672504467269664,57.84,0.39348917926610055
0.61,bandit,2,2.085,2.0459240701165,0.36813552003271155,0.45967030575084,60.05,0.4038340864627817
0.61,bandit,3,2.0025,1.939156311115172,0.38585888942980534,0.481980191666528,62.1825,0.42334619730212725
0.61,bandit,4,2.065,1.9923265450312295,0.37080868211750473,0.47026341124181414,63.16,0.4095960264759854
0.61,bandit,5,2.105,2.041125700934941,0.3500621926007151,0.4350871624313078,61.865,0.3832219308346462
0.61,bandit,6,1.9525,1.9382160853952877,0.34297938196711003,0.4518632280259298,58.4575,0.3854440819300498
0.61,bandit,7,2.09,2.0676024657724064,0.33306864758581567,0.4167598416620837,52.9125,0.3657082132755602
0.61,bandit,8,2.005,1.9707677328962958,0.36754108342731556,0.45748049660760876,64.745,0.4026174545676299
0.61,bandit,9,2.0225,2.0010191685459127,0.34906061842292807,0.4363243234877331,61.4025,0.383093463398202
0.61,bandit,10,2.0425,2.023080784002329,0.36144836661944324,0.4337353304869637,57.5775,0.3896402825277762
0.61,bandit,11,1.965,1.9677581816810505,0.3741532404105247,0.4612185505841319,62.1025,0.4081087113782315
0.61,bandit,12,1.9825,1.9151448012829666,0.36605238697826364,0.47227359489273196,59.8975,0.4074786580649063
0.61,bandit,13,2.0125,1.9457040447844531,0.37662026533266746,0.4706062389084335,63.765,0.4132747950272162
0.61,bandit,14,2.02,2.0047699505524137,0.3582759177014711,0.43860093950766016,59.365,0.38960267620588485
0.61,bandit,15,1.98,1.9378622330674127,0.38761426401316945,0.4742024313987432,60.34,0.4213836492935432
0.61,bandit,16,2.035,1.9588133760444066,0.37454074483600686,0.453292284345238,65.79,0.40525384524460706
0.61,bandit,17,1.885,1.8584300820776292,0.38552044297569404,0.4754304536612209,63.2375,0.42058534714304957
0.61,bandit,18,1.9425,1.9286752707392933,0.3751384695641737,0.46411745285224065,58.4725,0.40984027304651977
0.61,bandit,19,2.0375,2.0227442499807244,0.36008498030050634,0.43072170043088237,61.4775,0.38763330115135297
0.61,bandit,20,1.9625,1.9272888578615195,0.3705484337990434,0.4567703080216283,61.4,0.4041749647458516
0.61,bandit,21,2.0675,2.041503465675401,0.32945593171506843,0.41332632151416887,55.7075,0.3621653837367177
0.61,bandit,22,1.94,1.9291242197481069,0.36768279819347627,0.4655695851977049,59.315,0.40585864512512543
0.61,bandit,23,2.0,1.9775496761216727,0.37462515979281064,0.47330618016232334,69.69,0.4131107577369207
0.61,bandit,24,1.925,1.9445167656664102,0.38674549177084233,0.48858475698577564,68.375,0.42646280520466623
0.61,bandit,25,2.1175,2.131499310161053,0.33012874016299526,0.3865222989822798,51.41,0.3521222281025162
0.61,bandit,26,2.03,2.01849499167886,0.35334571994512376,0.4477936516674844,60.9175,0.39018041331684444
0.61,bandit,27,2.0225,1.953540886789081,0.37654285113197217,0.47513938713503845,63.94,0.414995500173168
0.61,bandit,28,1.925,1.9295275833789203,0.35524389410040685,0.4712927790900412,55.44,0.40050295924636414
0.61,bandit,29,2.0425,2.0326754388909563,0.37472217727815105,0.44856591968201626,62.755,0.4035212368156585
0.61,bandit,30,1.965,1.9349341274342433,0.367503866144188,0.47443410060078617,64.2175,0.4092066575822614
0.61,bandit,31,1.9275,1.923647034033549,0.3856012492993413,0.46957550300122164,64.3725,0.41835120824307465
0.61,bandit,32,2.0375,1.9977891233660188,0.3612134339153518,0.4482335052273687,60.63,0.39515126172703846
0.61,bandit,33,1.975,1.9915518001978592,0.3850486623793654,0.4696391484793865,63.1225,0.41803895195837365
0.61,bandit,34,2.0775,2.0282375731656903,0.36797334542278715,0.4384163302471196,61.585,0.39544610950427683
0.61,bandit,35,1.9675,1.972632578100712,0.3790688360826323,0.46970327381245,59.805,0.4144162667972613
0.61,bandit,36,2.0125,1.9523781420658282,0.35897232891675934,0.4582384540232017,53.835,0.3976861177082718
0.61,bandit,37,1.915,1.8653590201252348,0.3849863282005927,0.4988778063911799,66.5,0.42940400469492174
0.61,bandit,38,1.905,1.856042828411678,0.38926101691829657,0.478020335824517,67.725,0.42387715129172254
0.61,bandit,39,2.04,2.0168917710347616,0.3446704839032984,0.44363144149578604,57.3475,0.38326525736436856
0.61,bandit,40,1.9575,1.894854634886961,0.3638939813753823,0.45869084839749996,57.8275,0.40086475951400824
0.61,bandit,41,2.085,2.0395766322380133,0.35564885004593544,0.44740057053389093,64.195,0.391432021036238
0.61,bandit,42,2.0475,1.9850154871131764,0.35738990530983655,0.455104118061368,59.4375,0.3954984482829338
0.61,bandit,43,1.9975,1.9418607412760207,0.36148954603116495,0.46730247062461816,60.5275,0.4027565866226117
0.61,bandit,44,2.015,1.9874632180735077,0.3772496682941394,0.45748404528080444,65.455,0.40854107531893874
0.61,bandit,45,1.9675,1.9382853782064517,0.3662335240212502,0.45103335615794593,65.735,0.3993054585545615
0.61,bandit,46,2.02,1.9484576990634266,0.3509924034718127,0.4577027013510002,53.4775,0.3926094196446958
0.61,bandit,47,2.0,1.9695053542742402,0.3626730255797658,0.45136569179063984,65.515,0.3972631654020067
0.61,bandit,48,1.945,1.9507170294246938,0.365299040287397,0.469930073693205,55.125,0.40610514331566205
0.61,bandit,49,2.1,2.0682796585700514,0.35952901267518306,0.4365053190873913,63.005,0.38954977217594433
0.61,bandit,50,1.9525,1.8693551416478176,0.3780553535974974,0.4886670999319527,63.6025,0.421193934667935
0.61,pomdp,1,1.7475,1.8787408081685195,0.5021938188608144,0.5918157999346026,79.7025,0.5371463914795919
0.61,pomdp,2,1.85,2.043445626975125,0.4875730044598711,0.5892652063146382,74.2125,0.5272329631832302
0.61,pomdp,3,1.8775,2.0118558161385174,0.47987014209300183,0.5487842436633222,72.0375,0.5067466417054267
0.61,pomdp,4,1.7025,1.8692694423323395,0.5243934786039826,0.5989433956567136,84.055,0.5534679462545476
0.61,pomdp,5,1.8225,1.9630460786080066,0.49894936793202005,0.6078556823713128,85.945,0.5414228305633442
0.61,pomdp,6,1.845,1.9719808145086857,0.49703299510895527,0.5842697310258184,71.325,0.531055322116532
0.61,pomdp,7,1.7425,1.8695732396067855,0.49174252712759137,0.594236346666039,78.8,0.5317151167475859
0.61,pomdp,8,1.8575,2.0100746536676053,0.4810833866505442,0.5839973099126167,76.04,0.5212198167227524
0.61,pomdp,9,1.8525,1.9729607179327224,0.5175993391400124,0.594807452906871,83.715,0.5477105035090873
0.61,pomdp,10,1.7775,1.9170049474433863,0.5018728678658567,0.5905163280299176,76.26,0.5364438173298405
0.61,pomdp,11,1.67,1.8278435272427636,0.4828529808372049,0.6007591608287765,81.6025,0.5288363910339178
0.61,pomdp,12,1.855,2.0055701330495666,0.5003928654874844,0.5923725687003933,81.05,0.5362649497405189
0.61,pomdp,13,1.6875,1.8096563992068753,0.5082555998600057,0.6124454390198867,88.695,0.5488896371323594
0.61,pomdp,14,1.815,1.9205592898963857,0.4967260058707097,0.5952510982137036,78.435,0.5351507918844773
0.61,pomdp,15,1.79,1.8871254142660272,0.49724201260469236,0.6071831325683607,85.735,0.540119049390523
0.61,pomdp,16,1.865,1.9931943784012482,0.5012647791511223,0.5777028418162738,81.535,0.5310756235905315
0.61,pomdp,17,1.8425,1.9693866131710343,0.5215052029524717,0.5967750818035777,88.1375,0.550860455704403
0.61,pomdp,18,1.815,1.9230046846404847,0.49746378376446854,0.6031824578768479,85.7025,0.5386940666682964
0.61,pomdp,19,1.8075,1.9065886547049227,0.49499193676570813,0.6061931078813894,76.015,0.5383603935008238
0.61,pomdp,20,1.8225,1.964542027681427,0.5027139933768863,0.5979737647722522,76.7225,0.5398653042210789
0.61,pomdp,21,1.7525,1.9617574376516063,0.4993565711335849,0.5677684576890173,77.4175,0.5260372068902035
