reward_function,student_type,agent_type,run,final_state,avg_state,accuracy,engagement,questions_answered,avg_total_reward
correctness,FAST,pomdp,4,3.145,2.9970606192711227,0.6966888171861275,0.5941495819305467,155.55,0.6966888171861275
correctness,FAST,pomdp,5,3.1825,3.0570110049970243,0.6861086716885203,0.5799320245680103,153.515,0.6861086716885203
correctness,FAST,pomdp,6,3.1475,2.958736047494776,0.6982706990318244,0.590279865239405,152.2825,0.6982706990318244
correctness,FAST,pomdp,7,3.11,2.921422157780372,0.6903435868793087,0.59455175823052,153.1675,0.6903435868793087
correctness,FAST,pomdp,8,3.115,3.015332347595703,0.7064970529116634,0.583250130531571,159.6,0.7064970529116634
correctness,FAST,pomdp,9,3.1425,3.022074417868662,0.6724047789740055,0.5935061747684357,150.57,0.6724047789740055
correctness,FAST,pomdp,10,3.06,2.9482119200244283,0.675093054367436,0.5864882730714153,142.6075,0.675093054367436
correctness,FAST,pomdp,11,3.0925,2.922222414522334,0.68952489056865,0.5962895957810161,155.6925,0.68952489056865
correctness,FAST,pomdp,12,3.22,3.0751136407042816,0.6894790583722613,0.5995363577567525,161.8225,0.6894790583722613
correctness,FAST,pomdp,13,3.1675,3.0263701803429073,0.6999381980126551,0.5864608700616664,166.105,0.6999381980126551
correctness,FAST,pomdp,14,3.09,2.947028870887838,0.6928232143469202,0.57384953822589,153.9875,0.6928232143469202
correctness,FAST,pomdp,15,3.155,3.0033676644645,0.6942507278706108,0.5869510077792985,153.48,0.6942507278706108
correctness,FAST,pomdp,16,3.0725,2.9266736064687313,0.7075600173931559,0.5842779009853871,156.9025,0.7075600173931559
correctness,FAST,pomdp,17,3.1175,2.9516391783265696,0.7023377530174656,0.5898527905278685,155.27,0.7023377530174656
correctness,FAST,pomdp,18,3.105,2.9327766719716686,0.7020780397127979,0.5847654628523099,153.995,0.7020780397127979
correctness,FAST,pomdp,19,3.0925,2.9418544101996527,0.6955096600267603,0.5899191975457966,148.79,0.6955096600267603
correctness,FAST,pomdp,20,3.2275,3.1030020720100504,0.6854625241055448,0.5799853450923965,163.425,0.6854625241055448
correctness,FAST,pomdp,21,3.18,3.071393845549038,0.6982715270136245,0.5562019142524431,160.7975,0.6982715270136245
correctness,FAST,pomdp,22,3.1025,2.91532016384232,0.6837521678875842,0.5868941498276868,150.47,0.6837521678875842
correctness,FAST,pomdp,23,3.1575,3.023220425138212,0.6933528277784476,0.5776886502562949,151.39,0.6933528277784476
correctness,FAST,pomdp,24,3.09,2.926682645675919,0.6872125841202456,0.6023621353949191,153.4525,0.6872125841202456
correctness,FAST,pomdp,25,3.115,2.9524710020013005,0.691237425938315,0.598328701015947,152.1475,0.691237425938315
