agent_type,reward_function,run_number,avg_final_state,avg_avg_state,avg_accuracy,avg_engagement,avg_questions_answered,avg_total_reward
bandit,correctness,1,2.0875,2.0341352559986854,0.3464766527451997,0.39892779167314174,38.015,0.3464766527451997
bandit,correctness,2,2.1725,2.1039233636259236,0.33884015660603806,0.3867025468672792,39.5125,0.33884015660603806
bandit,correctness,3,2.07,2.02021425624793,0.3718507813602663,0.4252680592395493,41.4775,0.3718507813602663
bandit,correctness,4,2.11,2.014727218312574,0.370587735856618,0.4265910546402032,43.2,0.370587735856618
bandit,correctness,5,2.0725,2.007696534371898,0.3840070408014622,0.4190170947203224,39.995,0.3840070408014622
bandit,correctness,6,2.04,1.971207151002374,0.37399970511612496,0.4141292712156919,41.455,0.37399970511612496
bandit,correctness,7,2.14,2.0874336187376348,0.3554784799759112,0.40459464590264815,38.765,0.3554784799759112
bandit,correctness,8,2.125,2.018568355726476,0.36185701365115874,0.40960137201537977,39.1175,0.36185701365115874
bandit,correctness,9,2.1175,2.0294483975664623,0.35826412686259956,0.4205838638295462,41.6875,0.35826412686259956
bandit,correctness,10,2.1025,2.0446596590632145,0.3567874972815964,0.4247287459237785,41.8125,0.3567874972815964
bandit,correctness,11,2.03,1.970557623963328,0.37187510451587685,0.42138564251839966,38.325,0.37187510451587685
bandit,correctness,12,2.07,2.023643317376649,0.34551042298545254,0.3833488774324711,35.89,0.34551042298545254
bandit,correctness,13,2.19,2.0865023001485334,0.35260500114132526,0.39510576528480085,40.3325,0.35260500114132526
bandit,correctness,14,2.0875,2.0231071307767645,0.38311501196596154,0.41024449571755356,42.61,0.38311501196596154
bandit,correctness,15,2.1575,2.080465045074511,0.34486183642082585,0.38525448373567267,33.645,0.34486183642082585
bandit,correctness,16,2.2125,2.1266488378913664,0.35779670527647656,0.3946271459274135,39.96,0.35779670527647656
bandit,correctness,17,2.04,1.9415897447438544,0.39157768067514453,0.4269745625435713,43.59,0.39157768067514453
bandit,correctness,18,2.0975,2.052172406663882,0.3508455600101022,0.39991992719141045,38.0775,0.3508455600101022
bandit,correctness,19,2.12,2.088771527600849,0.3594304751408879,0.38287247819858167,40.775,0.3594304751408879
bandit,correctness,20,2.175,2.110262231894768,0.36034543552242043,0.39088475914574694,41.345,0.36034543552242043
bandit,correctness,21,2.05,1.9666337330566768,0.37930438895104884,0.41727743898558267,39.2625,0.37930438895104884
bandit,correctness,22,2.1475,2.065451313592965,0.35480918028834346,0.4282009068866182,42.67,0.35480918028834346
bandit,correctness,23,2.1375,2.121584861566058,0.36659245547066943,0.3895487533456481,37.1675,0.36659245547066943
bandit,correctness,24,2.035,1.9333136023917712,0.3764859168663627,0.4462485080798892,43.88,0.3764859168663627
bandit,correctness,25,2.2025,2.082366892762975,0.3826573986066117,0.41576412640751764,43.0525,0.3826573986066117
bandit,correctness,26,2.11,2.007036214780928,0.3649572191074681,0.420185096012045,39.675,0.3649572191074681
bandit,correctness,27,2.0775,2.0307726908002994,0.358134129976876,0.39281781109167413,36.4325,0.358134129976876
bandit,correctness,28,2.07,2.0184661073521024,0.3627498671464483,0.41220657257629933,41.2525,0.3627498671464483
bandit,correctness,29,2.065,1.9954840814500472,0.37809358387278563,0.4192099103930493,42.395,0.37809358387278563
bandit,correctness,30,2.26,2.162425049954953,0.3640175535407021,0.3930171960926732,40.6575,0.3640175535407021
bandit,correctness,31,2.0625,2.007944489484722,0.37044352713673967,0.4195970212742345,42.2,0.37044352713673967
bandit,correctness,32,2.115,2.0457704223090416,0.35504349644803673,0.4278455032844598,42.1625,0.35504349644803673
bandit,correctness,33,2.1175,2.0250117081389787,0.35970799029783135,0.41862219117121346,42.56,0.35970799029783135
bandit,correctness,34,2.1375,2.0636668216739285,0.3517958070644248,0.4055211951818369,39.29,0.3517958070644248
bandit,correctness,35,2.115,2.0246218607510773,0.37407487363653025,0.42464756679150834,44.9425,0.37407487363653025
bandit,correctness,36,2.23,2.1805529406111672,0.34276119788337694,0.37963248384045256,42.395,0.34276119788337694
bandit,correctness,37,2.13,2.045257198250936,0.38041348743297343,0.4261258792487749,43.5025,0.38041348743297343
bandit,correctness,38,2.3175,2.2349396799390964,0.35243035293669367,0.3684085005545354,40.04,0.35243035293669367
bandit,correctness,39,2.0575,1.975183840872191,0.385746891974208,0.43814825178113054,44.4075,0.385746891974208
bandit,correctness,40,2.0875,2.057149866240597,0.35027674614783355,0.3940797417138773,36.975,0.35027674614783355
