lambda,agent_type,run,avg_final_state,avg_avg_state,avg_accuracy,avg_engagement,avg_questions_answered,avg_total_reward
0.1,bandit,41,1.8625,1.8227919774135968,0.353810720129499,0.4831536181790743,66.2225,0.47021932837411684
0.1,bandit,42,1.89,1.878852394203877,0.36273931554518085,0.48178333948522706,61.1925,0.46987893709122247
0.1,bandit,43,1.9125,1.884626702598796,0.3569924851237792,0.48411031848027475,64.3525,0.4713985351446253
0.1,bandit,44,1.9725,1.9206195953971064,0.36326993466646795,0.48029488747952614,62.745,0.4685923921982203
0.1,bandit,45,1.975,1.9104833869629618,0.3453215757089444,0.45537420690441244,60.1575,0.44436894378486563
0.1,bandit,46,2.0225,1.9813129174346609,0.3695854227648914,0.49701249958345045,64.9675,0.4842697919015945
0.1,bandit,47,1.94,1.91564522168877,0.37021897134556886,0.4755280162582208,61.525,0.4649971117669556
0.1,bandit,48,2.0225,1.9759583018016464,0.3405977109836195,0.4665520156398732,61.665,0.45395658517424786
0.1,bandit,49,1.975,1.9512533034569604,0.3424891780332656,0.47044518119385303,59.7875,0.45764958087779417
0.1,bandit,50,1.9875,1.9646857198667107,0.3574101691097664,0.4609945999286731,54.83,0.4506361568467824
0.1,pomdp,1,1.735,1.8901321486384888,0.4751262197716879,0.634464427606259,87.59,0.6185306068228019
0.1,pomdp,2,1.735,1.78717804851644,0.46653346120705197,0.6231479708538106,84.865,0.6074865198891346
0.1,pomdp,3,1.62,1.8150549067947679,0.4961618806689787,0.6587260362066668,95.355,0.6424696206528979
0.1,pomdp,4,1.755,1.85448088034933,0.47970500600157356,0.6508182174434064,86.2425,0.6337068962992232
0.1,pomdp,5,1.735,1.8615113330820265,0.4747861468319226,0.6145920103624143,75.0975,0.6006114240093651
0.1,pomdp,6,1.8,1.9218450467457608,0.4785609300222386,0.6356815005426796,85.26,0.6199694434906354
0.1,pomdp,7,1.61,1.7317551606332473,0.48118381390196463,0.645067690627719,86.55,0.6286793029551436
0.1,pomdp,8,1.6375,1.7898975872604836,0.46346732779011285,0.6224643713863209,84.5075,0.6065646670267
0.1,pomdp,9,1.7025,1.826075827656171,0.4756049845151892,0.6205642766167544,77.3375,0.6060683474065979
0.1,pomdp,10,1.7,1.8231689619846692,0.4660618460695465,0.6200589043397015,79.34,0.604659198512686
0.1,pomdp,11,1.7,1.8060414340622413,0.4797798687551395,0.6305273111665937,84.2675,0.6154525669254483
0.1,pomdp,12,1.7375,1.9119351050255378,0.4780498175601052,0.6463116675418651,83.205,0.6294854825436892
0.1,pomdp,13,1.575,1.7267403692272205,0.4926413151862514,0.6479207242346842,93.365,0.6323927833298408
0.1,pomdp,14,1.7575,1.8827016391885303,0.45752682565061575,0.6243523220689645,84.5525,0.6076697724271297
0.1,pomdp,15,1.745,1.883359415206755,0.4845361102979558,0.6268367726774012,85.575,0.6126067064394567
0.1,pomdp,16,1.6775,1.7904444940249145,0.4787828699309708,0.6523701639809404,84.8175,0.6350114345759436
0.1,pomdp,17,1.8275,1.9253351532480982,0.4842819311479731,0.6401836321626329,83.765,0.624593462061167
0.1,pomdp,18,1.58,1.7765406665210675,0.49083456968495254,0.6875019217281078,96.69,0.6678351865237923
0.1,pomdp,19,1.7825,1.909989947734792,0.482834278658021,0.6394651687440094,83.3975,0.6238020797354106
0.1,pomdp,20,1.765,1.9272128672885038,0.4757070130344012,0.6295740206800788,80.49,0.614187319915511
0.1,pomdp,21,1.8,1.899535295579601,0.47296793867433706,0.6297289897050196,84.35,0.6140528846019514
0.1,pomdp,22,1.7425,1.8639155348599332,0.472653733447317,0.6398758863663082,88.555,0.6231536710744091
0.1,pomdp,23,1.67,1.8409884785562531,0.48472813811056875,0.6547842994033121,89.0725,0.6377786832740377
0.1,pomdp,24,1.7475,1.902075847648348,0.4808453589776417,0.6369414027359389,86.975,0.6213317983601092
0.1,pomdp,25,1.7225,1.8861114929151364,0.4718624568383942,0.6403395073392477,88.9725,0.6234918022891623
0.1,pomdp,26,1.66,1.794989472096118,0.48543067215825253,0.6386730613678002,84.1425,0.6233488224468454
0.1,pomdp,27,1.835,1.9445128493165245,0.4678797913096564,0.6417790053263238,81.905,0.6243890839246571
0.1,pomdp,28,1.715,1.8053009725052607,0.4748669818591638,0.6226894835786281,82.3175,0.6079072334066816
0.1,pomdp,29,1.6725,1.8365948562061662,0.473774576460771,0.6364994956532548,86.5425,0.6202270037340065
0.1,pomdp,30,1.7275,1.8622417519058834,0.49625499441735427,0.6357748430647149,89.875,0.6218228581999788
0.1,pomdp,31,1.7275,1.8846779723137679,0.4732830162665762,0.6221022979104185,77.89,0.6072203697460342
0.1,pomdp,32,1.7825,1.9275857292656997,0.49500087844411667,0.6386039493234044,88.37,0.6242436422354756
0.1,pomdp,33,1.6625,1.7629985813697941,0.4928204294915609,0.6568441272209296,91.3925,0.6404417574479928
0.1,pomdp,34,1.76,1.8659089844703884,0.4922954804929794,0.6189123412457366,85.9375,0.606250655170461
0.1,pomdp,35,1.6775,1.8460603618607632,0.480005629106972,0.6603510463017404,90.485,0.6423165045822636
0.1,pomdp,36,1.835,1.9882170919322775,0.463449122234201,0.6152133065311933,75.705,0.6000368881014941
