agent_type,reward_function,run_number,avg_final_state,avg_avg_state,avg_accuracy,avg_engagement,avg_questions_answered
bandit,correctness,1,2.035,1.9895807995615469,0.3472013734885509,0.3898143763530932,13.315
bandit,correctness,2,1.99,1.9408845510102695,0.328687225602018,0.40727147903673455,14.17
bandit,correctness,3,1.99,1.9594355066192861,0.31194046936011144,0.4122494444572565,13.1925
bandit,correctness,4,2.0375,2.0258860252177726,0.3364632573887446,0.41005149527241014,14.985
bandit,correctness,5,2.0675,2.0049045727164874,0.31737459494290876,0.3894352679400317,14.2525
bandit,correctness,6,2.1425,2.0782396894522503,0.32692835182890434,0.3935805699978891,15.635
bandit,correctness,7,2.05,2.0350118189919044,0.30645456230078955,0.4004356399962729,12.8025
bandit,correctness,8,1.93,1.9014708079632396,0.3321784442554774,0.4172707672392957,13.815
bandit,correctness,9,2.0825,2.058107647604458,0.2961395780578254,0.36581128235658306,12.275
bandit,correctness,10,1.9925,1.9559684379768363,0.31212452649262307,0.39711826558116314,10.805
bandit,correctness,11,2.125,2.0596137874018297,0.3181515352431509,0.37901906824347104,12.205
bandit,correctness,12,1.985,1.9551591933571615,0.3444095640982954,0.40193218649323226,16.205
bandit,correctness,13,2.1525,2.1244367162130815,0.3111886085325052,0.37410514920277266,12.175
bandit,correctness,14,2.005,1.9682644140535899,0.3368467124112965,0.39012759294525834,15.3275
bandit,correctness,15,1.965,1.9177814966509736,0.3248042983281735,0.41302554192328345,12.4425
bandit,correctness,16,2.0025,1.9173089894351774,0.3486204106689689,0.42518863285531355,15.35
bandit,correctness,17,2.025,1.9908895063270933,0.30675896627520965,0.39327295829612213,11.2625
bandit,correctness,18,2.135,2.102340623732262,0.3142974067472023,0.3801887186921361,14.06
bandit,correctness,19,2.08,2.033110479286459,0.3064920025419765,0.38497841907939445,13.9775
bandit,correctness,20,2.075,2.015414465482771,0.34147388453572086,0.41242560089067765,14.7025
bandit,correctness,21,2.0125,1.9527849719460066,0.34572950780807815,0.4151221923663951,12.6025
bandit,correctness,22,2.1425,2.1375932803856705,0.2880330940786063,0.35336445196281574,12.07
bandit,correctness,23,2.085,2.0421200788937033,0.32672091647730356,0.40685409816191814,15.925
bandit,correctness,24,2.04,2.0002287336519737,0.3390803656413621,0.4047706771168977,13.11
bandit,correctness,25,2.1325,2.0629858911030725,0.3236938603429693,0.37653205928117367,13.9725
bandit,correctness,26,1.98,1.9331915302367155,0.323487919862188,0.4126680127575104,12.5975
bandit,correctness,27,2.0725,2.0362134134102727,0.3278127495470747,0.37909654308942575,12.6875
bandit,correctness,28,2.12,2.0844479010994883,0.2960159881377423,0.3754954022214851,12.0975
bandit,correctness,29,2.07,2.032942450681241,0.31596204710393505,0.3905339489621846,14.4275
bandit,correctness,30,2.015,1.9630101590677698,0.33313640024254765,0.40079953247043776,14.62
bandit,engagement,1,2.065,2.0543102770430233,0.307517265352865,0.4025680150649468,16.0175
bandit,engagement,2,1.96,1.946648618660583,0.31647371526046625,0.43302335130757497,17.18
bandit,engagement,3,2.0325,2.0325268447290004,0.29896207036045563,0.39907491096143977,16.365
bandit,engagement,4,2.0325,2.025921718475699,0.3164634880004897,0.413651724256342,14.89
bandit,engagement,5,2.0175,2.029027385319148,0.3013694794528002,0.40932353567922986,15.835
bandit,engagement,6,1.9925,2.0032923902999857,0.302372478115679,0.40923308206357517,14.3825
bandit,engagement,7,2.025,2.0152158509277602,0.3268533199319035,0.4304638140961382,16.4975
bandit,engagement,8,2.035,2.0381561568001954,0.32003779421307504,0.41325970808481527,16.7975
bandit,engagement,9,1.9375,1.9131333837721234,0.36248396342549183,0.45149889633074586,20.1775
bandit,engagement,10,2.025,1.997119807200553,0.3302179967611809,0.43517141947654264,17.395
bandit,engagement,11,1.9975,1.9941527789651448,0.2883737685979828,0.4286253271303178,15.01
bandit,engagement,12,1.9925,2.0193673603737246,0.2935659063188203,0.41631956274617665,15.4
bandit,engagement,13,1.9825,2.0084354980294368,0.3072798730040839,0.42591755431152406,14.505
bandit,engagement,14,2.04,2.0146188202078075,0.30227579557493855,0.4234708785134585,14.0975
bandit,engagement,15,1.9325,1.9420055783080148,0.3270550957704616,0.43647039933533904,16.91
bandit,engagement,16,1.98,1.9521299852868026,0.3232373208036728,0.43397412778554584,16.26
bandit,engagement,17,2.065,2.070599452942474,0.3019578591201891,0.40408377437889925,15.1575
bandit,engagement,18,2.015,2.037377040998179,0.2914835150335262,0.41714018577674095,12.7625
bandit,engagement,19,1.9525,1.9341695900836227,0.29683265814696286,0.439983791857505,16.72
bandit,engagement,20,2.0325,2.042189267019605,0.3354817768695899,0.4259653922394102,17.1775
bandit,engagement,21,1.99,1.978769148591378,0.33023432126140667,0.433346666192148,19.4825
bandit,engagement,22,1.9275,1.9296185216777253,0.3177122033413109,0.4258608886409197,16.76
bandit,engagement,23,1.9225,1.9358571673618428,0.32302007200267396,0.45194923022911426,18.8925
bandit,engagement,24,1.98,1.9676764448387605,0.29948140623245095,0.42865281387482923,14.5125
bandit,engagement,25,1.9875,1.9845136320028178,0.29635250731142393,0.4231215620838794,15.6875
bandit,engagement,26,1.94,1.9184746165540951,0.3266286784143335,0.4398712164206632,17.9425
bandit,engagement,27,2.0825,2.0964230046086896,0.2789520526114974,0.403881703442843,16.2375
bandit,engagement,28,2.0075,1.9868864268625048,0.3170083895961138,0.43753713958814017,16.87
