agent_type,reward_function,run_number,avg_final_state,avg_avg_state,avg_accuracy,avg_engagement,avg_questions_answered,avg_total_reward
bandit,correctness,1,2.0825,2.038293263652326,0.36282586197373307,0.42799568563662505,47.01,0.36282586197373307
bandit,correctness,2,2.1825,2.1045727739769764,0.36359879110596516,0.3996463002262999,49.415,0.36359879110596516
bandit,correctness,3,2.1375,2.0662853838401123,0.3573356997666996,0.42134296329931087,44.86,0.3573356997666996
bandit,correctness,4,2.0825,1.9936472701157533,0.36883558525297033,0.4277247642316656,51.9875,0.36883558525297033
bandit,correctness,5,2.1775,2.123587826718084,0.34175528539384686,0.3738072649229322,40.4475,0.34175528539384686
bandit,correctness,6,2.1125,2.0153141007949813,0.3739705846451223,0.4242494549907779,43.4775,0.3739705846451223
bandit,correctness,7,2.175,2.07976796932239,0.36391761483997587,0.41474075506053754,47.155,0.36391761483997587
bandit,correctness,8,2.075,2.039910824344946,0.3655845853094475,0.40789758164436873,46.8825,0.3655845853094475
bandit,correctness,9,2.095,2.0107547452531627,0.367024897410808,0.4126685005934012,44.3975,0.367024897410808
bandit,correctness,10,2.1175,2.0524524824563044,0.3770099479032058,0.4105381207319493,47.3475,0.3770099479032058
bandit,correctness,11,2.01,1.9345044379830187,0.3637611255319907,0.427281483391683,43.1325,0.3637611255319907
bandit,correctness,12,2.19,2.09660335792227,0.3703735669218186,0.3851634799007479,42.445,0.3703735669218186
bandit,correctness,13,2.22,2.209586237967402,0.3499425819940693,0.3782504927412178,46.6925,0.3499425819940693
bandit,correctness,14,2.26,2.152333169190551,0.36062984015183175,0.3891641771558653,50.71,0.36062984015183175
bandit,correctness,15,2.105,1.9759696100030877,0.3757866946810944,0.4146734917794486,47.4925,0.3757866946810944
bandit,correctness,16,2.265,2.1893176216808055,0.363829383823698,0.3956140126161701,49.68,0.363829383823698
bandit,correctness,17,2.0475,2.018710789230592,0.3465010066788485,0.3931834726119904,41.7025,0.3465010066788485
bandit,correctness,18,2.0825,2.0686997104405855,0.3597508232663571,0.39987584366094026,47.295,0.3597508232663571
