student_type,agent_type,run,final_state,avg_state,accuracy,engagement,questions_answered,avg_total_reward
FAST,bandit,1,2.6475,2.364524331856115,0.4270925573459571,0.5021716085161294,70.8925,0.44961627269700877
FAST,bandit,2,2.6525,2.3831065818039905,0.42376046924720323,0.4983389133309284,69.88,0.44613400247232077
FAST,bandit,3,2.6875,2.4718611250923055,0.4097032547592464,0.486164095797718,72.3275,0.43264150707078786
FAST,bandit,4,2.75,2.4971013624504383,0.4326694037999188,0.4773163532951814,75.4375,0.4460634886484975
FAST,bandit,5,2.645,2.388117204277771,0.4166046144514086,0.5030892668058708,65.2475,0.44255001015774725
FAST,bandit,6,2.745,2.4786320034413882,0.41570862580714146,0.4831714519821979,71.03,0.43594747365965847
FAST,bandit,7,2.755,2.4889602498932053,0.42145920880543586,0.4578045206882005,65.6975,0.43236280237026514
FAST,bandit,8,2.76,2.5132318503190154,0.4153661364132576,0.4662208926425749,72.2425,0.4306225632820528
FAST,bandit,9,2.6975,2.4568732229249175,0.40051687729536295,0.45429653100719775,69.2025,0.4166507734089134
FAST,bandit,10,2.7175,2.427612325422523,0.42622385597368867,0.4914693867535723,72.6425,0.4457975152076537
FAST,bandit,11,2.84,2.581640655802332,0.42362607295903815,0.46666355121966957,72.9475,0.4365373164372276
FAST,bandit,12,2.695,2.39673793591864,0.42537783933507617,0.5119990681172035,77.2925,0.4513642079697144
FAST,bandit,13,2.7225,2.411791770612444,0.4326018752444682,0.5071499988567395,71.86,0.45496631232814955
FAST,bandit,14,2.7525,2.4462233395381414,0.4123389538964577,0.4624906384544126,71.0475,0.42738445926384405
FAST,bandit,15,2.6875,2.4586884876479225,0.4350423384712916,0.4822376306575208,77.9675,0.44920092612716034
FAST,bandit,16,2.6425,2.394606825784532,0.43158923208174493,0.5142647029988656,75.275,0.4563918733568811
FAST,bandit,17,2.6625,2.41115717460295,0.4357933668870679,0.484248489709999,78.3825,0.45032990373394727
FAST,bandit,18,2.6375,2.3552978848171664,0.4388219477735277,0.5011879379562559,79.46,0.4575317448283461
FAST,bandit,19,2.565,2.3751117636357084,0.4079320042790035,0.4782926743358081,72.095,0.42904020529604486
FAST,bandit,20,2.705,2.464774424664692,0.4193137154865309,0.46900168919222424,70.37,0.4342201075982389
FAST,bandit,21,2.6825,2.426866681888666,0.44150884001195495,0.5313713351956042,80.535,0.4684675885670497
FAST,bandit,22,2.715,2.3950170934664765,0.43868008761981714,0.5243984488107956,78.225,0.46439559597711066
FAST,bandit,23,2.6425,2.3863311767414577,0.41621283228924705,0.4834692972400748,72.885,0.43638977177449534
FAST,bandit,24,2.6225,2.4052645550068363,0.4311274380727437,0.5148236049710654,75.61,0.4562362881422402
FAST,bandit,25,2.61,2.418198468936255,0.40400727799569586,0.4836870900127545,64.8175,0.4279112216008134
FAST,bandit,26,2.7425,2.4688194585623706,0.4265589833131606,0.4838959382112495,74.33,0.4437600697825872
FAST,bandit,27,2.72,2.4192953894823206,0.4550796493001424,0.5207716330679198,89.455,0.4747872444304756
FAST,bandit,28,2.635,2.375082133766085,0.40345164653792165,0.4732033578388763,66.215,0.424377159928208
FAST,bandit,29,2.665,2.3815126636721495,0.43180731740663236,0.49726356917029463,75.88,0.45144419293573107
FAST,bandit,30,2.7175,2.4170254966633986,0.4098040077775395,0.47726596954518913,65.09,0.43004259630783437
FAST,bandit,31,2.69,2.4481517447434418,0.41425362880771915,0.47051054845151485,72.535,0.4311307047008579
FAST,bandit,32,2.6525,2.398212757054105,0.4389104176664233,0.5013497500124927,75.505,0.4576422173702441
FAST,bandit,33,2.59,2.332372605236482,0.44163867608154184,0.5202088836041737,77.4525,0.4652097383383314
FAST,bandit,34,2.66,2.4375306307651914,0.3839096116824341,0.44768356570954365,63.67,0.4030417978905669
FAST,bandit,35,2.675,2.447239233916922,0.40500354013830525,0.46709362147974276,69.7675,0.42363056454073644
FAST,bandit,36,2.745,2.4600836339674896,0.42726310230811565,0.4855623180743983,74.83,0.4447528670380004
FAST,bandit,37,2.7725,2.5390489298652397,0.4254907641534696,0.467461028125431,81.7575,0.438081843345058
FAST,bandit,38,2.69,2.444269714956792,0.43498703465269906,0.5190009360668475,76.94,0.46019120507694355
FAST,bandit,39,2.71,2.453096808423896,0.45111891711974955,0.4949072060533611,79.3575,0.464255403799833
FAST,bandit,40,2.6575,2.3594863944367086,0.44378270312417845,0.5042167722414493,80.355,0.46191292385935967
FAST,bandit,41,2.73,2.4747511404025704,0.42337651235947427,0.4796278939076268,73.7175,0.44025192682391995
FAST,bandit,42,2.685,2.479882683619695,0.4247147374319657,0.4665695802366054,72.81,0.4372711902733576
FAST,bandit,43,2.68,2.464864474146008,0.4294949726904722,0.4925527033996066,77.8275,0.4484122919032124
FAST,bandit,44,2.7,2.4291451284673373,0.43320083074102717,0.48053846352132396,78.645,0.4474021205751162
FAST,bandit,45,2.6925,2.447902081374592,0.41719380795037003,0.47897648567906953,76.0925,0.4357286112689799
FAST,bandit,46,2.6425,2.4040993435835945,0.4379745376046201,0.5022038603371319,75.64,0.45724333442437354
FAST,bandit,47,2.665,2.3279409141447367,0.4227293795015293,0.491095809168973,69.915,0.4432393084017623
FAST,bandit,48,2.5,2.2542985724181737,0.43252649993468373,0.529846128603971,75.0225,0.4617223885354699
FAST,bandit,49,2.595,2.3082370336489566,0.4360279021005403,0.5258134919779138,78.64,0.4629635790637524
FAST,bandit,50,2.715,2.5304128379012587,0.4002960022530459,0.4428203610849316,68.14,0.4130533099026115
FAST,pomdp,1,2.3875,2.3739713402165927,0.5664642482397195,0.7763700228450193,126.125,0.6294359806213095
FAST,pomdp,2,2.5125,2.5015132724232543,0.5685831590585556,0.7469422922417869,119.665,0.622090899013525
FAST,pomdp,3,2.4925,2.4976800965847716,0.5622621111924037,0.7408211177580049,119.655,0.6158298131620841
FAST,pomdp,4,2.5925,2.5947743623412403,0.5672568432246863,0.7996392507092384,133.3725,0.636971565470052
FAST,pomdp,5,2.45,2.4673966679598056,0.5602101787985735,0.7774946184580813,123.3525,0.6253955106964257
FAST,pomdp,6,2.445,2.461227476085549,0.5687274629302492,0.7903189715524696,133.035,0.6352049155169153
FAST,pomdp,7,2.4575,2.45657805960642,0.5676340702978098,0.7458386394525491,119.5725,0.6210954410442315
