lambda,agent_type,run,avg_final_state,avg_avg_state,avg_accuracy,avg_engagement,avg_questions_answered,avg_total_reward
0.71,bandit,1,2.0675,2.029762068261353,0.34499632790096646,0.4254130759090618,51.2875,0.3683171848233141
0.71,bandit,2,2.0275,2.0044285367091197,0.37058008020970773,0.4451831152736743,56.43,0.39221496037825804
0.71,bandit,3,2.115,2.0854620866092177,0.3625169145270014,0.4233761603045587,57.39,0.3801660958024931
0.71,bandit,4,2.035,2.012094803706462,0.3446343206849171,0.4373917775527888,54.735,0.3715339831765999
0.71,bandit,5,2.0375,2.003437106885695,0.37805122768448085,0.45096872120002635,53.905,0.3991973008039891
0.71,bandit,6,2.02,1.9699341225574218,0.3592910505562616,0.4426388765105759,54.57,0.3834619200830127
0.71,bandit,7,1.975,1.9399512291909782,0.3640960123486005,0.4365433656872224,55.0225,0.3851057448168008
0.71,bandit,8,2.07,1.9744557672225613,0.37295559813190216,0.45298579938796507,63.305,0.3961643564961604
0.71,bandit,9,2.0525,2.0056371987441834,0.3514314566184399,0.4432242284051105,54.0125,0.37805136043657434
0.71,bandit,10,2.105,2.061851844861351,0.36870550072525105,0.45026443047534853,57.945,0.3923575903527794
0.71,bandit,11,2.045,1.9901875053353169,0.3785645743624869,0.4520609087975947,62.9775,0.39987851134866814
0.71,bandit,12,1.9575,1.8611643893550405,0.40594017977114033,0.4942913961790203,63.9675,0.4315620325294256
0.71,bandit,13,2.14,2.0341287143840545,0.37668828691236,0.46142755585287776,58.5975,0.40126267490511014
0.71,bandit,14,2.0725,2.0129960890843743,0.3797198405117664,0.4434624275403831,59.735,0.3982051907500653
0.71,bandit,15,2.035,1.9965880842644632,0.36700806048330503,0.4353550280551757,56.5825,0.3868286810791476
0.71,bandit,16,2.0975,2.0773348153598965,0.3564722066013978,0.4233834682940325,59.395,0.37587647249226186
0.71,bandit,17,2.05,1.9881647767774218,0.3861543629001517,0.44125673101349305,64.205,0.40213404965302074
0.71,bandit,18,1.9775,1.9439477333992738,0.34000546752780153,0.4494486950389605,56.655,0.3717440035060376
0.71,bandit,19,2.0475,1.959505877179801,0.38002478059605893,0.4646189025041222,63.175,0.40455707594939727
0.71,bandit,20,2.055,2.0215101352831457,0.375845353983016,0.4393368645124012,58.67,0.3942578920365377
0.71,bandit,21,2.065,2.0420334624437,0.36775576428864154,0.454765342462678,63.1725,0.3929885419591122
0.71,bandit,22,2.1025,2.066675760665317,0.3485345873436232,0.4378479433730735,59.91,0.3744354605921638
0.71,bandit,23,1.99,1.9267779247653374,0.3690546002905711,0.45279264214564563,57.76,0.3933386324285427
0.71,bandit,24,2.06,1.9961478183547943,0.39562545868022037,0.473313188925737,68.425,0.4181549004514201
0.71,bandit,25,2.165,2.07147209224417,0.3695099284796574,0.431719577852628,58.065,0.387550726797819
0.71,bandit,26,1.975,1.9334254864665446,0.37983044219268236,0.4710186307138268,58.9175,0.4062750168638143
0.71,bandit,27,2.095,2.035289945123225,0.3546196192159389,0.44522628812522996,59.26,0.38089555319963336
0.71,bandit,28,1.9925,1.9425489864533625,0.37651885291572684,0.4755216081661869,60.5525,0.4052296519383603
0.71,bandit,29,2.03,1.9920941376464327,0.37368691727483805,0.4514394498490979,57.275,0.39623515172137347
0.71,bandit,30,2.1325,2.09337169643187,0.3706681987391925,0.4568903754297615,60.015,0.3956726299794575
0.71,bandit,31,2.08,2.042401513725369,0.34740666126473485,0.41308619449261136,56.285,0.36645372590081904
0.71,bandit,32,1.9725,1.9419221462648002,0.3604428922233967,0.43848311872767914,58.8875,0.3830745579096386
0.71,bandit,33,2.06,1.9839879359851949,0.3897364485439003,0.4647064644423811,62.345,0.4114777531544598
0.71,bandit,34,2.0825,2.0221091611919477,0.3746418006114368,0.43703427801996186,65.105,0.3927356190599091
0.71,bandit,35,2.0025,1.9147336173363783,0.37309249012583934,0.4544721355659992,60.7825,0.3966925873034857
0.71,bandit,36,2.0425,1.9819253122757485,0.3609270826491206,0.4393957041198769,58.1775,0.38368298287563996
0.71,bandit,37,2.05,2.0306951361088714,0.3674587089083712,0.4521831028886968,58.76,0.39202878316266565
0.71,bandit,38,2.1,2.0342374878969824,0.3765682480025565,0.4402485895467047,65.1375,0.3950355470503595
0.71,bandit,39,2.065,1.9961956418282643,0.35763725998706664,0.4420064774147302,61.905,0.38210433304108904
0.71,bandit,40,2.0725,2.0228660876366904,0.3622441188614492,0.4356096231231584,60.715,0.3835201150973449
0.71,bandit,41,2.0175,1.9425284062714114,0.3696798613890724,0.4343548137649592,53.4075,0.38843559757807955
0.71,bandit,42,2.125,2.0795639802086954,0.3627227450987175,0.4422551804059164,58.2075,0.3857871513378052
0.71,bandit,43,2.1275,2.0805916137463716,0.3854908376609869,0.45026199055180677,60.7875,0.40427447199932476
0.71,bandit,44,2.17,2.0837501928124396,0.35511338461482217,0.4225651715858118,54.47,0.3746744028364092
0.71,bandit,45,2.0975,2.033056496570371,0.36728013524299263,0.43837067870043966,61.6625,0.38789639284565225
0.71,bandit,46,2.1275,2.1237051049478812,0.3463293511470343,0.41704504817309035,58.8675,0.3668369032845905
0.71,bandit,47,2.0275,1.9674667861700255,0.36783031944053113,0.45024709852705036,60.8125,0.39173118537562174
0.71,bandit,48,2.025,1.9570066298891424,0.38173919815060736,0.4775015178034815,63.58,0.4095102708499408
