agent_type,reward_function,run_number,avg_final_state,avg_avg_state,avg_accuracy,avg_engagement,avg_questions_answered,avg_total_reward
bandit,correctness,1,2.215,2.190203592625585,0.3458983626300838,0.37259994796351137,43.23,0.3458983626300838
bandit,correctness,2,1.985,1.8993719134998033,0.3985192745793002,0.4509257377238392,49.9775,0.3985192745793002
bandit,correctness,3,2.1825,2.0761028783067497,0.37394232085712903,0.4058670984159005,52.38,0.37394232085712903
bandit,correctness,4,2.165,2.128787148853352,0.3587992568356003,0.4009635906409095,45.975,0.3587992568356003
bandit,correctness,5,2.105,2.015260805713005,0.3759915361770824,0.43913811793498475,51.1675,0.3759915361770824
bandit,correctness,6,2.17,2.094628088250325,0.3608929954972562,0.4075254510239128,49.085,0.3608929954972562
bandit,correctness,7,2.11,1.9762840609858672,0.3663117746504401,0.40573893440127906,41.125,0.3663117746504401
bandit,correctness,8,2.1325,2.06423127183086,0.3821714842511767,0.3954220577439592,50.6775,0.3821714842511767
bandit,correctness,9,2.1525,2.0681936551342424,0.34524757586731963,0.3787289302132244,39.125,0.34524757586731963
bandit,correctness,10,2.0875,2.001649280173395,0.3894742651599043,0.4295599270538966,47.135,0.3894742651599043
bandit,correctness,11,2.2175,2.1193785549739577,0.35571584021731617,0.40532198967557803,49.435,0.35571584021731617
bandit,correctness,12,2.11,2.0693422298307254,0.3693706962865578,0.4008339295401931,41.4125,0.3693706962865578
bandit,correctness,13,2.085,2.02259449088041,0.3778184327404874,0.43027648890218906,49.9575,0.3778184327404874
bandit,correctness,14,2.0675,1.9855858583325283,0.3842994070537101,0.4332857837530662,50.675,0.3842994070537101
bandit,correctness,15,2.1775,2.1102693217293798,0.3870033608382246,0.39026022067729116,48.3375,0.3870033608382246
bandit,correctness,16,2.12,2.0494112180040633,0.36405042479657695,0.41306461496526686,42.315,0.36405042479657695
bandit,correctness,17,2.145,2.0436187470775407,0.39141797882462415,0.42338414656643,43.0725,0.39141797882462415
bandit,correctness,18,2.14,2.086881106010123,0.3752704116962082,0.39932117750915397,46.6175,0.3752704116962082
bandit,correctness,19,2.1175,2.106114966463165,0.32752901678663654,0.38808386022171854,42.0675,0.32752901678663654
bandit,correctness,20,2.1125,2.07184114611846,0.35347613516498766,0.3846323166076959,43.3625,0.35347613516498766
bandit,correctness,21,2.0925,2.0275902748662786,0.36060446131172297,0.4140366418367866,47.815,0.36060446131172297
bandit,correctness,22,2.04,1.9946450292576607,0.3495697367162252,0.4103059209628989,42.3775,0.3495697367162252
