agent_type,reward_function,run_number,avg_final_state,avg_avg_state,avg_accuracy,avg_engagement,avg_questions_answered,avg_total_reward
bandit,correctness,1,2.0825,2.029210698874144,0.3673215447380213,0.4109161714460276,39.685,0.3673215447380213
bandit,correctness,2,2.2125,2.0975645028497563,0.3553708294986058,0.4188775730966825,42.7625,0.3553708294986058
bandit,correctness,3,2.155,2.0691163650989983,0.36926030760705736,0.3997333565972427,41.26,0.36926030760705736
bandit,correctness,4,2.0825,1.9815664829822714,0.3653625149534123,0.4094953086344797,39.73,0.3653625149534123
bandit,correctness,5,2.135,2.062607785707327,0.3702014215066335,0.4193561189488595,41.4825,0.3702014215066335
bandit,correctness,6,2.1775,2.0899469090348206,0.36800027800270024,0.39705359498239373,41.505,0.36800027800270024
bandit,correctness,7,2.1075,2.021881297990908,0.3749991415059607,0.4106513526305325,44.2625,0.3749991415059607
bandit,correctness,8,2.1,2.024212725810675,0.391215799032995,0.44348001974025136,43.615,0.391215799032995
bandit,correctness,9,2.1775,2.132689311051363,0.3449507767579621,0.3723339471116527,34.625,0.3449507767579621
bandit,correctness,10,1.99,1.9182375176948585,0.3594366527811795,0.4247633666077957,38.42,0.3594366527811795
bandit,correctness,11,2.0625,1.9918872971117612,0.4130581179332637,0.44866594010450866,47.5825,0.4130581179332637
bandit,correctness,12,2.1475,2.071134519390384,0.3691236351314309,0.4041498042276616,41.8975,0.3691236351314309
bandit,correctness,13,2.14,2.075987438696611,0.3430425167024086,0.4226986587715317,41.0,0.3430425167024086
bandit,correctness,14,2.1075,2.021166975650908,0.37018958089611786,0.4026903247463484,41.7775,0.37018958089611786
bandit,correctness,15,2.2175,2.1551404282547124,0.35077824544637926,0.3907873947975004,37.265,0.35077824544637926
bandit,correctness,16,2.22,2.158255306156604,0.3500367254243825,0.3851536090664982,39.0925,0.3500367254243825
bandit,correctness,17,2.15,2.075890363991838,0.37451482008371384,0.40626528039109777,42.6775,0.37451482008371384
bandit,correctness,18,2.115,2.0206162504283087,0.37272825919756947,0.4252097623206646,45.89,0.37272825919756947
bandit,correctness,19,2.1925,2.1133223610492204,0.3522143519060094,0.39634678263792517,41.2575,0.3522143519060094
bandit,correctness,20,2.15,2.0616696221334676,0.3601763894051707,0.4223506819846517,43.79,0.3601763894051707
bandit,correctness,21,2.1525,2.069921978030917,0.3686186926738785,0.4191275728333237,44.0775,0.3686186926738785
bandit,correctness,22,2.1875,2.0672633476347886,0.38127783059318504,0.4121439347290671,43.3025,0.38127783059318504
bandit,correctness,23,2.1475,2.0795228519400144,0.3774287335838937,0.3990420619580549,40.2775,0.3774287335838937
